text,label_encoded
drive to 'save' festive holidays efforts are being made to 'protect' workers' days off on christmas day and new year's day. support is being sought for a bill which would ensure that large retailers in scotland remain closed on christmas day and 1 january. the usdaw trade union said shop workers should be able to enjoy a break with their families. msp karen whitefield wants to ensure only those whose roles are essential are at work over the festive season. in recent years more stores have been opening on traditional holidays with some starting their endofyear sale on christmas day or new year's day. ms whitefield said i have found members of the public to be very supportive when i have been campaigning on the streets. the early evidence shows quite clearly that the vast majority of people believe that shop workers should be given these two special days to spend with friends and family. usdaw general secretary john hannett added christmas day and new year's day are special days for everyone in scotland and the fact that shops do not open is an important part of making them special. they are largely collective days of rest. we want people to tell karen through her consultation whether they want the special nature of these days to remain or whether they want them to become like any other trading day with shops open for business as usual. the consultation on a christmas  new year's day trading bill has so far attracted almost 500 responses and closes on 7 february.,0
brown hits back in blair rift row gordon brown has criticised a union leader who said conflict between himself and tony blair was harming the workings of government. jonathan baume of the top civil servants' union spoke of competing agendas between mr brown and mr blair. but the chancellor said mr baume was never at meetings between himself and the prime minister so could not judge. he said the union leader was trying to block civil service reform which threatened his members' jobs. it suited the purpose of mr baume's union the first division association to suggest there were two agendas battling against each other because the union was trying to resist the planned reforms mr brown told bbc radio 4's today programme. under the plans unveiled in the gershon report some 84000 civil servants jobs will be axed or changed and the savings ploughed back into frontline services. mr brown said to be honest i don't think you can rely on his mr baume's judgement on this matter when it comes to the decisions that the government are making. mr blair and i are making exactly the same decisions on civil service reforms. we are determined to go on with the gershon reforms. he also said that as mr baume was never present at meetings between himself and the prime minister he was not in a position to judge. on wednesday ahead of the chancellor's prebudget report mr baume told bbc news there were sometimes conflicting and competing agendas for government between number 10 and the treasury. what the chancellor wanted was not by any means what alan milburn and the prime minister want to see mr baume said. government departments get their money from the treasury on the basis of public service agreements they sign up to but at the same time the prime minister also has an agenda and that's not necessarily the same as the treasury's and the prime minister is of course a very powerful figure in any government. he also sends instructions and messages and directions to departments about how he would like each secretary of state and each department to implement a policy agenda. the problem is that on many occasions these two don't add up and individual cabinet ministers as well as departments have to make sense of this battle. number 10 said ministers were interested in governing and not a soap opera about mr blair and mr brown. tory shadow chancellor oliver letwin said the battle royal that the top civil servants are now reporting on between the chancellor and tony blair is preventing them both from getting on with the business of getting taxpayers value for money.,0
holmes is hit by hamstring injury kelly holmes has been forced out of this weekend's european indoor athletics championships after picking up a hamstring injury during training. the double olympic champion said i am very disappointed that i have been forced to withdraw. i can hardly walk at the moment and i won't be able to do any running for two or three weeks although i'll be keeping fit as best i can. holmes will have now have intensive treatment in south africa. the 34yearold made a cautious start to the season but looked back to her best when she stormed to the 1000m title at the birmingham grand prix 10 days ago. after that race and more progress in training holmes revealed she had decided to compete at the european indoors before her plans were wrecked last weekend. on saturday night i pulled my hamstring running the last bend on my final 200m of the night said holmes. i was going really really well when i felt a massive spasm in my left leg and my hamstring blew. i saw the doctor here and he has said it is not serious but it's frustrating missing madrid when i knew i was in great shape. holmes has now been advised by her coach margot jennings not to rush back into training and it is unlikely she will compete again until the summer. helen clitheroe now goes to madrid as the only british competitor in the women's 1500m while there will be no representative in the 800m.,1
the future in your pocket if you are a geek or gadget fan the next 12 months look like they are going to be a lot of fun. the relentless pace of development in the hitech world and rampant competition in many of its sectors particularly among mobile phone firms all suggests that 2005 is going to be a very good year. to begin with 2005 will be the year that thirdgeneration 3g mobile phones become inescapable. the 3 network launched in 2003 vodafone launched its consumer service in november orange followed in early december and tmobile and o2 are due to launch in 2005. the main result of these launches will likely be a slew of good deals for consumers as operators try to poach new customers from rivals and convince existing users to trade up. already the extra capacity in 3g networks lets 3 offer good deals on voice calls at rates that will probably have to be matched by the other operators. but the shift in technology and low cost of voice calls means that operators lose a significant chunk of their revenue. show me an operator that believes their voice business can sustain them and i'll write their obituary said niel ransom chief technology officer at alcatel. instead operators are likely to push all other things that 3g phones can do such as video messaging and other multimedia capabilities. already camera phones look set to challenge digital cameras and are likely to win more fans as multimegapixel devices go on sale. but 3g will not have everything its own way. it will face competition from emerging technologies such as wimax. this wireless technology can boost data transmission speeds up to 75 megabits per second and works over distances of up to 30 miles. kent is likely to be the site of the uk's first wimax network which is due to go live in 2005 and it could be the way that rural areas get highspeed net access. analyst firm telecom view predicts that wimax will steal a lot of market share from 3g and will be a clear winner. bob larribeau principal analyst at telecom view said the better return on investment offered by technologies such as wimax could dent the possible returns of 3g networks. and the growing ubiquity of wifi must not be forgotten either. the technology is popping up in more places than ever and its wider use is only held back by the price differences across countries and suppliers. moves to unite mobile and fixed phones look set to get more emphasis in 2005 too. for a start bt looks set to roll out its bluephone project during the next 12 months. the service revolves around a hybrid device that uses the mobile networks when you are out and about but switches back to the fixed line when you are at home. fixed line phones will also start to get much more serious competition from a technology that has the formidable name of voice over ip voip. voip routes calls via the net instead of the fixed line phone network. anyone with a broadband connection which is now more than 50 of the uk's net using population can use voip and could slash their monthly phone bills if they used it. telecommunications regulator ofcom has declared 056 to be the area code for voip calls and 2005 is likely to see a lot more consumerfocused voip call services starting up. home broadband services will also start to increase in speed as dwindling numbers of new users signing force the pace of competition. if 2004 has been the year of the portable music player they 2005 looks like it will be the year of the portable media player. motorola has just announced a deal with apple to produce a phone that works with the itunes service and other hybrid gadgets that sport a big memory and lots of other functions will become commonplace. the pace of advancement in storage media will continue mean that the cost per megabyte of memory will plummet. some of those devices will sport huge hard drives letting you store more data than you ever wanted or knew you had. convergence could mean that singlefunction devices start to dwindle in number. instead every gadget will be able to do almost anything and communicate almost any way you want. the only downside is that consumers will face a series of tough choices as they are confronted by a bewildering array of gadgets each with an enormous numbers of features and vast data holding capacities. but that is the kind of problem most gadget fans can live with.,2
o'sullivan could run in worlds sonia o'sullivan has indicated that she would like to participate in next month's world cross country championships in st etienne. athletics ireland have hinted that the 35yearold cobh runner may be included in the official lineup for the event in france on 1920 march. provincial teams were selected after last saturday's nationals in santry and will be officially announced this week. o'sullivan is at present preparing for the london marathon on 17 april. the participation of o'sullivan currentily training at her base in australia would boost the ireland team who won the bronze three years agio. the first three at santry last saturday jolene byrne maria mccambridge and fionnualla britton are automatic selections and will most likely form part of the longcourse team. o'sullivan will also take part in the bupa great ireland run on 9 april in dublin.,1
argonaut founder rebuilds empire jez san the man behind the argonaut games group which went into administration a week ago has bought back most of the company. the veteran games developer has taken over the cambridgebased just add monsters studios and the london subsidiary morpheme. the argonaut group went into administration due to a severe cash crisis firing about half of its staff. in august it had warned of annual losses of 6m for the year to 31 july. jez san is one of the key figures in the uk's games industry. the developer who received an obe in 2002 was estimated to have been worth more than 200m at the peak of the dotcom boom. he founded argonaut in 1982 and has been behind titles such as 1993 starfox game. more recently it was behind the harry potter games for the playstation. but like all software developers argonaut needed a constant flow of deals with publishers. in august it warned of annual losses of 6m blaming delays in signing new contracts and tough conditions in the software industry. the group's three subsidiaries were placed in administration a week ago with mr sans resigning as the company's ceo and some 100 staff being fired. after the latest round of cuts there were 80 workers at argonaut headquarters in edgware in north london with 17 at its morpheme offices in kentish town london and 22 at the just add monsters base in cambridge. mr san has reemerged buying back morpheme and just add monsters. we are pleased to announce the sale of these two businesses as going concerns said david rubin of administrators david rubin  partners. this has saved over 40 jobs as well as the substantial employment claims that would have arisen had the sales not been achieved. mr rubin said the administrators were in talks over the sale of the argonaut software division in edgware and were hopeful of finding a buyer. this is a very difficult time for all the employees there but i salute their commitment to the business while we work towards a solution he said. some former employees are angry at the way cash crisis was handled. one told bbc news online that the staff who had been fired had been financially ruined in the space of a day.,2
'errors' doomed first dome sale the initial attempt to sell the millennium dome failed due to a catalogue of errors a report by the government's finance watchdog says. the report said too many parties were involved in decisionmaking when the attraction first went on sale after the millennium exhibition ended. the national audit office said the dome cost taxpayers 28.7m to maintain and sell in the four years after it closed. finally a deal to turn it into a sport and entertainment venue was struck. more than 550m could now be returned to the public sector in the wake of the deal to regenerate the site in greenwich london. the nao report said that this sale went through because it avoided many of the problems of the previous attempt to sell the dome. deputy prime minister john prescott said a good deal had been secured. delivery of the many benefits secured through this deal will continue the substantial progress already made at the millennium village and elsewhere on the peninsula he said. but edward leigh who is chairman of the commons public accounts committee warned the government would have to work hard to ensure taxpayers would get full benefit from the dome deal. he said this report also shows that the first attempt to sell the dome proved a complete fiasco. every arm of government seems to have had a finger in the pie. the process was confused and muddled. he added four years after the millennium exhibition closed the government finally has a deal to find a use for what has been a white elephant since it closed in a deal that incredible as it may seem should bring in some money and provide a benefit for the local area and the country as whole. however it was more a question of luck that a strong bid turned up after thefirst abortive attempt. nao head sir john bourn said in difficult circumstances following the failure of the first competition english partnerships and the office of the deputy prime minister have worked hard to get a deal.,0
parry firm over gerrard listen to the full interview on sport on five and the bbc sport website from 1900 gmt. but parry speaking exclusively to bbc sport also admits gerrard who has been constantly linked with chelsea will have the final say on his future. he told bbc five live steven is above money. he is the future of liverpool. it doesn't matter if it's 30m 40m or 50m we will not accept offers. but we are also realistic enough to know we can't keep steven against his will. on the subject of liverpool's finances parry also revealed the club is ready to explore the possibility of a sponsorship deal for its proposed new stadium. and responding to criticism from bbc sport pundit and former liverpool stalwart alan hansen he insisted talks on new investment are ongoing but added the door has not closed on shareholder and lifelong fan steve morgan. parry joined liverpool as chief executive in july 1998 from a similar role at the premier league. there have been several highs and lows during his time in charge at anfield  and he had a busy summer overseeing the arrival of new manager rafael benitez and managing to hold on to steven gerrard. on the subject of liverpool's captain and prize asset parry revealed real madrid did ask for an option on the england midfield man during negotiations for striker fernando morientes. he said they were looking for ways of saying they got more out of the deal for fernando morientes but the response to real madrid was the same  steven is not for sale. but when asked if gerrard would be a liverpool player on the first day of next season parry said i sincerely hope he will be. steven knows my views. he knows rafa's views. we have reaffirmed recently to steven that we are trying to build a team around him. we crave success as much as he does. we know he's ambitious and nobody can argue with that. i think steven would dearly love to win things with liverpool more than he'd like to do anything else. we all want to see progress by next season. he's not alone in that. there are a lot of other players who feel the same so we all have a common aim. it is expected chelsea will test liverpool with a 30mplus bid in the summer  but parry claims he will be in no mood to listen. there have been a lot of open secrets about steven most of which have been complete myths. it is suggested we had a deal tied up last summer. we didn't had an offer last summer parry explained. we had told chelsea that as far as we were concerned he was not for sale and we didn't want to sell him. in reality it didn't go beyond that. maybe there will be an offer in the summer. maybe there won't. our position is we want steven to stay but we are also realistic enough and have enough respect for steven  and he has enough respect for us  to know that it is his decision that will be crucial. you are not going to keep a player like steven against his will. that just doesn't work but any idea we are going to accept offers for steven and then tell him 'by the way we've decided to sell you' is not on the agenda. you can forget that. parry is currently in the process of finalising funding for liverpool's new stadium in stanley park which is set to open in 2007. and he confessed arsenal's 100m deal with emirates to sponsor their new ground  complete with naming rights  has given the anfield club serious food for thought. he said i have to say historically it is something i have been against and i have been on record as saying that but i think the size of the arsenal deal is a real eyeopener. i would say in the past deals have been done frankly far too cheaply and it just hasn't even been worth contemplating. but the arsenal deal is the sort of deal that causes you to draw breath and say 'wow  that's interesting.' my personal point of view is that i would find it a hell of a lot more palatable than a shared stadium. some liverpool fans would find such a move highly controversial but parry countered i recognise it would be an emotive issue for many supporters but you look at the amount of money available and it could go into the team. if it was the right partner how strong an issue is it time will tell. i think the stadium will always be anfield not least because of where it is but do we need to investigate the possibilities of sponsorship i think it would be remiss not to. that's not to say we have made a decision that we will go down that road but i think it is clearly something we have to explore. on the subject of possible new investment parry revealed liverpool are still in negotiations with a mystery investor with rumours of interest from the middle east. that prompted the withdrawal of tycoon steve morgan who got frustrated by failed bids and what he claimed was indecision by the board. he also accused liverpool of using him as a stalking horse to attract other bids but parry explained steve has never been used as a stalking horse. there's no need and that is not the way we do business. we had discussions with steve over the course of 2004. i think we came close to concluding a deal in the summer but it didn't happen. quite genuinely the new interest did appear relatively late in the day just prior to the agm in december and as i have said it was of such potential magnitude and that potential is so exciting we felt we had to evaluate it. we are still evaluating it. steve's interest was taken very much on its own merits. his enthusiasm for the club is there for all to see and who knows what the next few months will hold the door isn't closed on anything. we had a perfectly sensible dialogue with steve last year. we have a common interest in making liverpool successful. that's a dream we all share so as far as i'm concerned the door is not closed. i would take 50m if we had no investment but if we did keep him. as for the stadium if it gets us cash what difference does it make really 50m for gerrard i don't care who you are the directors would take the money and it is the way it should be. we cannot let that sum of money go despite gerrard's quality. through a cleverly worded statement the club has effectively forced gerrard to publicly make the decision for himself which i think is the right thing to do. critical time for liverpool with regards to gerrard. ideally we would want to secure his future to the club for the long term. i am hoping he doesn't walk out of the club like michael owen did for very little cash. 50m realistically would allow rafa to completely rebuild the squad however if we can afford to do this and keep gerrard we will be better for it. i would however be happy with gerrard's transfer for any fee over 35m. parry's statements are clever in that any future gerrard transfer cannot be construed as a lack of ambition by the club to not try and keep their best players. upping the ante is another smart move by parry. i would keep gerrard. no amount of money could replace his obvious love of the club and determination to succeed. the key is if gerrard comes out and says that he is happy. clearly if he isn't then we would be foolish not to sell. the worrying thing is who would you buy or who would come pending possible nonchampions league football.,1
aragones angered by racism fine spain coach luis aragones is furious after being fined by the spanish football federation for his comments about thierry henry. the 66yearold criticised his 3000 euros 2060 punishment even though it was far below the maximum penalty. i am not guilty nor do i accept being judged for actions against the image of the sport he said. i'm not a racist and i've never lacked sporting decorum. i've never done that and i have medals for sporting merit. aragones was handed the fine on tuesday after making racist remarks about henry to arsenal teammate and spanish international jose reyes last october. the spanish football federation at first declined to take action against aragones but was then requested to do so by spain's antiviolence commission. the fine was far less than the expected amount of about 22000 or even the suspension of his coaching licence. arsenal boss arsene wenger who was fined 15000 in december for accusing manchester united striker ruud van nistelrooy of cheating believes that aragones' punishment was too lenient. you compare his fine and my fine and if you consider his was for racist abuse then you seem to get away with it more in spain than you should wenger said. he shouldn't have said what he said and how much money is enough i don't know but it doesn't look a big punishment. however aragones insists the fine is unjustified and unfair. i have been treated like islero the bull that killed famous bullfighter manolete said aragones on hearing he had been fined for his actions. i have not liked one thing about this whole affair and i do not agree with the sanction. they have looked for a scapegoat. spain's antiviolence commission must now ratify the spanish fa's decision and has until next week to announce its verdict. aragones has 10 days to appeal and the commission can also appeal. alberto flores president of the spanish fa's disciplinary committee said noone in the committee felt aragones was a racist nor had acted in a racist way. a fine the highest we could apply is sufficient punishment. suspension would have been a bit exaggerated flores told sports daily marca.,1
online games play with politics after bubbling under for some time online games broke through onto the political arena in 2004. the us presidential election provided a showcase for many aimed at talking directly to a generation that has grown up with joysticks and gamepads. experts say this reflects how video games are becoming a mainstream part of culture and society. the first official political campaign game was technically launched during the last week of 2003 the iowa game commissioned by the democrat hopeful howard dean. more than 20 followed suit including frontrunner elections president forever and the political machine which allowed players to run an entire presidential campaign including having to cope with the media. others helped raise the stakes during the bushkerry contest by highlighting a candidate's virtues or his vices. the phenomenon has astonished the forefathers of political games a handful of multidiscipline games enthusiasts keen to push frontiers. when i started researching political games at the university about five years ago i thought it was going to be something that would take decades to happen said gonzalo frasca computer games specialist at the information technology university of copenhagen. i must admit that i was the first person to be surprised at seeing how fast they have evolved added the uruguayanborn researcher who has so far created games for two political campaigns. many artists and designers are experimenting with this form of gaming with an agenda in projects such as newsgaming.com. the aim is to comment on international news events via games. the ability of games to simulate reality makes them a powerful modelling tool to interact with actual situations in an original way. video games generate strong reactions mainly because they are new but also because our culture needs to learn how to deal with simulation mr frasca told the bbc news website. this was the case with the one he created for a political party in uruguay cambiemos an online puzzle game that offered a view on how the country's problems could be solved by working together. it's up to us to explore what we can learn from ourselves through play and video games. ultimately dr frasca sees games as a small laboratory where we can play with our hopes fears and beliefs. children learn a lot about the world through play. there is no reason why we adults should stop doing it as we grow up. but experts estimate it will still take at least about a decade until this new breed of video gaming communication become a common tool for political campaigns. this is hardly surprising compared to other forms of mass media like the worldwide web. only a few years ago most politicians did not have a webpage while now it is almost a musthave. dr frasca said political campaigns will continue to experiment with video games. they represent a new tool of communication that can reach a younger audience in a language that can clearly speak to them. it will not replace other forms of political propaganda but it will integrate itself on to the media ecology of political campaigns.,2
